region,pohlavie,typ_skupiny,skupina,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Nitriansky kraj,Muži,vek,15-24,0.7,0.6,0.8,1.1,0.9,1.7,0.8,0.7,1.3,2.1,4.2,4.5,4.6,3.9,3.6,5.4,5.3,1.9,2.1,5.5,7.4
Nitriansky kraj,Ženy,vek,15-24,0.5,0.7,0.5,1.3,0.6,1.2,1.5,0.7,1.4,1.9,1.7,2.9,2.6,2.2,3.2,4.4,4.1,2.9,2.7,4.0,4.1
Nitriansky kraj,Muži,vek,25-34,1.9,2.2,2.3,1.4,1.5,2.7,2.7,2.9,3.5,5.9,5.0,7.7,7.7,7.0,6.6,9.7,4.8,4.8,7.6,5.6,7.8
Nitriansky kraj,Ženy,vek,25-34,2.1,1.4,1.5,0.8,1.6,2.1,1.3,1.6,2.0,4.3,5.5,6.1,7.1,10.1,6.3,8.3,7.1,7.0,5.3,7.1,7.3
Nitriansky kraj,Muži,vek,35-44,1.4,1.2,0.9,2.2,2.0,2.4,1.1,2.2,3.3,3.0,4.7,4.1,3.2,4.5,3.8,4.1,4.2,1.7,4.1,4.2,7.2
Nitriansky kraj,Ženy,vek,35-44,1.9,1.6,2.4,3.0,2.6,2.4,1.0,2.2,2.2,4.2,4.2,4.2,5.2,5.3,5.6,5.9,5.8,5.0,4.6,4.4,7.3
Nitriansky kraj,Muži,vek,45-54,1.2,0.6,1.3,1.3,0.8,1.1,1.5,1.4,2.3,2.2,3.2,3.8,4.1,3.4,4.0,4.1,4.0,2.5,3.5,5.3,8.9
Nitriansky kraj,Ženy,vek,45-54,1.1,1.5,0.9,1.6,2.3,1.6,2.1,2.4,3.2,3.4,4.7,3.1,5.5,4.9,5.0,8.3,7.6,4.3,4.9,5.4,7.9
Nitriansky kraj,Muži,vek,55+,0.5,0.3,0.6,0.6,0.9,1.1,1.4,0.3,1.0,1.4,1.6,2.2,3.0,2.5,2.7,2.3,1.5,0.7,1.7,2.9,3.1
Nitriansky kraj,Ženy,vek,55+,1.0,0.4,0.9,1.4,2.3,1.4,2.1,1.7,1.9,1.9,2.6,2.7,2.5,2.2,2.1,1.6,1.2,1.0,0.8,0.7,0.5
Nitriansky kraj,Muži,vzdelanie,Základné a bez vzdelania,1.8,0.7,1.2,1.8,1.5,0.7,1.2,1.5,2.3,1.0,2.4,3.4,3.5,2.9,3.6,3.0,3.7,1.7,3.2,3.2,6.6
Nitriansky kraj,Ženy,vzdelanie,Základné a bez vzdelania,0.7,0.8,1.1,1.9,1.5,1.3,0.9,1.6,2.6,3.0,3.2,2.9,2.6,3.8,3.4,4.3,4.2,2.8,4.4,5.2,6.2
Nitriansky kraj,Muži,vzdelanie,Nižšie stredné,2.4,2.6,2.0,2.0,2.5,2.9,2.4,2.9,4.1,6.8,7.9,11.0,10.8,11.1,11.4,13.8,9.8,6.2,10.8,15.6,20.4
Nitriansky kraj,Ženy,vzdelanie,Nižšie stredné,2.4,0.6,0.9,1.6,1.3,1.7,2.4,2.5,3.3,5.4,5.9,5.9,8.7,9.6,10.8,14.1,11.8,9.4,7.4,8.4,9.4
Nitriansky kraj,Muži,vzdelanie,Úplné stredné,1.3,1.2,2.4,2.1,1.8,4.7,3.2,2.6,4.5,5.7,6.4,6.8,7.3,5.9,5.3,7.8,5.4,3.1,3.9,4.1,6.7
