Pohlavie,Odvetvie,Rok,Hodnota
Muži,S Ostatné činnosti,2018,"0,6"
Muži,S Ostatné činnosti,2019,"0,3"
Muži,S Ostatné činnosti,2020,"0,7"
Muži,S Ostatné činnosti,2021,"0,8"
Muži,S Ostatné činnosti,2022,"0,5"
Muži,S Ostatné činnosti,2023,"0,3"
Muži,S Ostatné činnosti,2024,"0,3"
Muži,S Ostatné činnosti,2025,"0,3"
Muži,Spolu,2021,"97,4"
Muži,Spolu,2022,"87,0"
Muži,Spolu,2023,"84,5"
Muži,Spolu,2024,"70,5"
Muži,Spolu,2025,"74,9"
Muži,T Činnosti domácností ako zamestnávateľov,2008,-
Muži,T Činnosti domácností ako zamestnávateľov,2009,"0,2"
Muži,T Činnosti domácností ako zamestnávateľov,2010,"0,1"
Muži,T Činnosti domácností ako zamestnávateľov,2011,-
Muži,T Činnosti domácností ako zamestnávateľov,2012,-
Muži,T Činnosti domácností ako zamestnávateľov,2013,-
Muži,T Činnosti domácností ako zamestnávateľov,2014,-
Muži,T Činnosti domácností ako zamestnávateľov,2015,-
Muži,T Činnosti domácností ako zamestnávateľov,2016,-
Muži,T Činnosti domácností ako zamestnávateľov,2017,-
Muži,T Činnosti domácností ako zamestnávateľov,2018,-
Muži,T Činnosti domácností ako zamestnávateľov,2019,-
Muži,T Činnosti domácností ako zamestnávateľov,2020,-
Muži,T Činnosti domácností ako zamestnávateľov,2021,-
Muži,T Činnosti domácností ako zamestnávateľov,2022,-
Muži,T Činnosti domácností ako zamestnávateľov,2023,-
Muži,T Činnosti domácností ako zamestnávateľov,2024,-
Muži,T Činnosti domácností ako zamestnávateľov,2025,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2008,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2009,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2010,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2011,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2012,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2013,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2014,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2015,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2016,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2017,"0,1"
Muži,U Činnosti extrateritoriálnych organizácií a združení,2018,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2019,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2020,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2021,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2022,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2023,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2024,-
Muži,U Činnosti extrateritoriálnych organizácií a združení,2025,-
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2008,"11,3"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2009,"10,9"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2010,"12,7"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2011,"10,0"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2012,"10,0"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2013,"13,0"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2014,"11,2"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2015,"5,3"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2016,"6,3"
Spolu,"A Poľnohospodárstvo, lesníctvo a rybolov",2017,"4,2"
